Code,Symbol,Name,Market,Sector
450520.KQ,450520,인스웨이브,KOSDAQ,소프트웨어 개발 및 공급업
403490.KQ,403490,우듬지팜,KOSDAQ,"과실, 채소 가공 및 저장 처리업"
384470.KQ,384470,코어라인소프트,KOSDAQ,소프트웨어 개발 및 공급업
465770.KS,465770,STX그린로지스,KOSPI,해상 운송업
146060.KQ,146060,율촌,KOSDAQ,1차 철강 제조업
355390.KQ,355390,크라우드웍스,KOSDAQ,소프트웨어 개발 및 공급업
418250.KQ,418250,시큐레터,KOSDAQ,소프트웨어 개발 및 공급업
424960.KQ,424960,스마트레이더시스템,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
092790.KS,092790,넥스틸,KOSPI,1차 철강 제조업
210120.KQ,210120,캔버스엔,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
448710.KQ,448710,코츠테크놀로지,KOSDAQ,컴퓨터 및 주변장치 제조업
445680.KQ,445680,큐리옥스바이오시스템즈,KOSDAQ,의료용 기기 제조업
030190.KS,030190,NICE평가정보,KOSPI,기타 정보 서비스업
440110.KQ,440110,파두,KOSDAQ,반도체 제조업
373170.KQ,373170,엠아이큐브솔루션,KOSDAQ,소프트웨어 개발 및 공급업
429270.KQ,429270,시지트로닉스,KOSDAQ,반도체 제조업
446440.KS,446440,에피바이오텍,KOSPI,자연과학 및 공학 연구개발업
462520.KS,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업"
462520.KS,462520,조선내화,KOSPI,"내화, 비내화 요업제품 제조업"
172670.KQ,172670,에이엘티,KOSDAQ,반도체 제조업
388870.KQ,388870,파로스아이바이오,KOSDAQ,자연과학 및 공학 연구개발업
438700.KQ,438700,버넥트,KOSDAQ,소프트웨어 개발 및 공급업
406820.KQ,406820,뷰티스킨,KOSDAQ,기타 화학제품 제조업
432430.KQ,432430,와이랩,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
321370.KQ,321370,센서뷰,KOSDAQ,전자부품 제조업
456570.KS,456570,아이엠지티,KOSPI,의료용품 및 기타 의약 관련제품 제조업
378340.KQ,378340,필에너지,KOSDAQ,특수 목적용 기계 제조업
274400.KQ,274400,이노시뮬레이션,KOSDAQ,소프트웨어 개발 및 공급업
354320.KQ,354320,알멕,KOSDAQ,1차 비철금속 제조업
440320.KQ,440320,오픈놀,KOSDAQ,소프트웨어 개발 및 공급업
232830.KQ,232830,아이티센피엔에스,KOSDAQ,소프트웨어 개발 및 공급업
296520.KS,296520,가이아코퍼레이션,KOSPI,생활용품 도매업
090460.KS,090460,비에이치,KOSPI,전자부품 제조업
460850.KS,460850,동국씨엠,KOSPI,1차 철강 제조업
460860.KS,460860,동국제강,KOSPI,1차 철강 제조업
303360.KQ,303360,프로티아,KOSDAQ,의료용 기기 제조업
348080.KQ,348080,큐라티스,KOSDAQ,자연과학 및 공학 연구개발업
439090.KQ,439090,마녀공장,KOSDAQ,기타 화학제품 제조업
405920.KQ,405920,나라셀라,KOSDAQ,음·식료품 및 담배 도매업
285800.KQ,285800,진영,KOSDAQ,플라스틱제품 제조업
457190.KS,457190,이수스페셜티케미컬,KOSPI,기초 화학물질 제조업
456040.KS,456040,OCI,KOSPI,기초 화학물질 제조업
420770.KQ,420770,기가비스,KOSDAQ,특수 목적용 기계 제조업
271830.KQ,271830,팸텍,KOSDAQ,특수 목적용 기계 제조업
434480.KQ,434480,모니터랩,KOSDAQ,소프트웨어 개발 및 공급업
340810.KQ,340810,시선AI,KOSDAQ,소프트웨어 개발 및 공급업
456190.KS,456190,큐라켐,KOSPI,의료용품 및 기타 의약 관련제품 제조업
446840.KQ,446840,지슨,KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
417790.KQ,417790,트루엔,KOSDAQ,영상 및 음향기기 제조업
304360.KQ,304360,에스바이오메딕스,KOSDAQ,의약품 제조업
298830.KQ,298830,슈어소프트테크,KOSDAQ,소프트웨어 개발 및 공급업
393210.KQ,393210,토마토시스템,KOSDAQ,소프트웨어 개발 및 공급업
424980.KQ,424980,마이크로투나노,KOSDAQ,반도체 제조업
318160.KQ,318160,셀바이오휴먼텍,KOSDAQ,기타 섬유제품 제조업
100090.KS,100090,SK오션플랜트,KOSPI,1차 철강 제조업
448730.KS,448730,삼성FN리츠,KOSPI,부동산 임대 및 공급업
453340.KS,453340,현대그린푸드,KOSPI,종합 소매업
452260.KS,452260,한화갤러리아,KOSPI,종합 소매업
358570.KQ,358570,지아이이노베이션,KOSDAQ,자연과학 및 공학 연구개발업
309960.KQ,309960,LB인베스트먼트,KOSDAQ,기타 금융업
